date,sleep_h,active_cal,exercise_h,stand_h,basal_cal,flights,max_hr,min_o2,activity_mets,avg_rr,avg_resting_hr,steps,daylight_h
2019-02-19,,,,,1322.5240000000001,9.0,,,,,,4889.0,
2019-02-20,,,,,1280.619,13.0,,,,,,8048.0,
2019-02-21,,,,,1309.968,7.0,,,,,,2593.0,
2019-02-22,,173.504,2.0,,1431.627,3.0,82.0,,,,58.0,6129.0,
2019-02-23,,0.132,,,1329.636,3.0,,,,,,1807.0,
2019-02-24,,158.425,21.0,,1364.608,11.0,105.0,,,,,13056.0,
2019-02-25,,28.255,1.0,,1345.462,6.0,140.0,,,,,3366.0,
2019-02-26,,409.961,59.0,,1376.384,21.0,151.0,,,,65.0,16697.0,
2019-02-27,,,,,1305.355,6.0,,,,,,4311.0,
2019-02-28,,,,,1309.968,3.0,,,,,,3897.0,
2019-03-01,,,,,1309.968,3.0,,,,,,3562.0,
2019-03-02,,,,,1309.968,3.0,,,,,,8710.0,
2019-03-03,,,,,1309.968,,,,,,,4360.0,
2019-03-04,,24.914,6.0,,1326.901,5.0,,,,,,3412.0,
2019-03-05,,22.962,3.0,,1331.117,7.0,,,,,,3150.0,
2019-03-06,,,,,1311.106,8.0,,,,,,6201.0,
2019-03-07,,,,,1309.968,10.0,,,,,,3743.0,
2019-03-08,,,,,1309.968,6.0,,,,,,2655.0,
2019-03-09,,,,,1309.968,4.0,,,,,,7560.0,
2019-03-10,,,,,1309.968,2.0,,,,,,6229.0,
2019-03-11,,27.593,7.0,,1327.166,8.0,119.0,,,,,5975.0,
2019-03-12,,16.939,,,1325.521,11.0,,,,,,3646.0,
2019-03-13,,50.965,8.0,,1290.526,12.0,138.0,,,,,11174.0,
2019-03-14,,460.901,62.0,,1430.203,22.0,163.927,,,,64.0,21491.0,
2019-03-15,,50.648,8.0,,1322.986,2.0,115.0,,,,,4471.0,
2019-03-16,,,,,1307.762,6.0,,,,,,7003.0,
2019-03-17,,0.268,,,1308.351,,,,,,,4066.0,
2019-03-18,,47.265,7.0,,1345.872,23.0,,,,,,6908.0,
2019-03-19,,122.807,12.0,,1370.558,7.0,109.0,,,,67.0,7260.0,
2019-03-20,,37.637,3.0,,1335.622,9.0,100.0,,,,,5259.0,
2019-03-21,,41.452,2.0,,1341.754,4.0,,,,,,7713.0,
2019-03-22,,,,,1309.968,6.0,,,,,,5400.0,
2019-03-23,,,,,1309.968,5.0,,,,,,12838.0,
2019-03-24,,,,,1309.968,2.0,,,,,,11037.0,
2019-03-25,,71.363,19.0,,1325.029,10.0,,,,,,7383.0,
2019-03-26,,27.961,3.0,,1101.753,10.0,,,,,,6070.0,
2019-03-27,,,,,,10.0,,,,,,3475.0,
2019-03-28,,,,,,6.0,,,,,,4048.0,
2019-03-29,,,,,,13.0,,,,,,9853.0,
2019-03-30,,,,,,20.0,,,,,,11300.0,
2019-03-31,,,,,,22.0,,,,,,8047.0,
2019-04-01,,,,,,48.0,,,,,,11420.0,
2019-04-02,,,,,,48.0,,,,,,15514.0,
2019-04-03,,,,,,18.0,,,,,,5913.0,
2019-04-04,,,,,,27.0,,,,,,11212.0,
2019-04-05,,,,,,5.0,,,,,,5788.0,
2019-04-06,,,,,,14.0,,,,,,7982.0,
2019-04-07,,,,,,8.0,,,,,,6987.0,
2019-04-08,,,,,,22.0,,,,,,8933.0,
2019-04-09,,,,,,19.0,,,,,,5502.0,
2019-04-10,,,,,,13.0,,,,,,8768.0,
2019-04-11,,,,,,16.0,,,,,,7959.0,
2019-04-12,,,,,,9.0,,,,,,3298.0,
2019-04-13,,,,,,7.0,,,,,,10907.0,
2019-04-14,,,,,,8.0,,,,,,11100.0,
2019-04-15,,,,,,17.0,,,,,,7751.0,
2019-04-16,,,,,,10.0,,,,,,7845.0,
2019-04-17,,,,,,13.0,,,,,,6052.0,
2019-04-18,,,,,,11.0,,,,,,8588.0,
2019-04-19,,,,,,15.0,,,,,,6822.0,
2019-04-20,,,,,,7.0,,,,,,2996.0,
2019-04-21,,,,,,18.0,,,,,,4110.0,
2019-04-22,,,,,,20.0,,,,,,9802.0,
2019-04-23,,,,,,23.0,,,,,,7793.0,
2019-04-24,,,,,,24.0,,,,,,17804.0,
2019-04-25,,,,,,9.0,,,,,,18340.0,
2019-04-26,,,,,,21.0,,,,,,6238.0,
2019-04-27,,,,,,18.0,,,,,,19471.0,
2019-04-28,,,,,,7.0,,,,,,5937.0,
